heading,location,content,id,area,n_bedrooms,n_bathrooms,Price
Flat for sale in calle San Lucas,"Chueca - Justicia, Madrid city","Wonderful property with luxury refurbishment for sale in San Lucas street. Located on the first floor, it has a built area of 170 m². 

The property is characterised by its extraordinary luminosity and its exclusive refurbishment with exceptional qualities and a lot of personality, paying special attention to the design of its spaces, combining elegance and distinction. The excellent distribution, as well as the high floor in which it is located, has facilitated the creation of spacious and luminous spaces.

The property has a beautiful living-dining room open to a magnificent designer kitchen fully equipped with top of the range appliances and a laundry room with washing machine, dryer, sink and plenty of storage space.

The sleeping area consists of two magnificent double bedrooms with spacious built-in wardrobes, one of them with en-suite bathroom. 

Can you imagine living here?",VM2403050,170 m2,2,2,"€ 1,950,000"
Detached new build villas in Valdemarín,"Valdemarín, Madrid Noroeste","LAST UNITS!

Residential development made up of unique villas located on private plots of up to 2,500 square metres in one of the most exclusive areas of Madrid.

Nine exclusive individual villas distributed on a single floor, with swimming pool, garden and spacious rooms that flow and communicate with each other. A project of enormous quality and attractiveness where comfort is a priority, resulting in homes that stand out for their functionality, versatility and excellence. Spaces, volumes and noble materials combine to provide the complex with the highest standards of quality and efficiency.

The work of the prestigious international studio Bueso - Inchausti & Rein Arquitectos, we are talking about properties that are authentic masterpieces of contemporary architecture.

This development is one of the most select traditional enclaves in Madrid, a privileged setting away from the hustle and bustle of the city centre, but close to all that the capital has to offer. An exclusive area surrounded by green areas and a growing gastronomic and leisure offer. In addition, Valdemarín is highly valued for its proximity to first class educational centres, the best hospitals in the area and enjoys a plus of security due to its proximity to the CNI and the Zarzuela Palace.

Can you imagine living here?",ONM2403002,680 m2,,,"from € 4,300,000"
House for sale in calle Tambre,"El Viso, Madrid city","House in Serrano corner without urban protection.

The property currently consists of 995 meters built on a plot of 505 square meters.

It consists of 4 floors of 200 meters each one of them accessed by lift or stairs.

It is distributed in four floors; the main one on the ground floor which gives access to the house through two areas, main and service, second and third floor, from this last one you can access to the terrace of the property with spectacular views to all Madrid.

In the basement the property has a garage for 4 cars. The property is sold with a commercial premises of 80 metres, annexed to the property with entrance from Serrano street.

Both the location and the orientation of the property is unbeatable.

Can you imagine living here?",VM2403051,995 m2,10,8,"€ 10,000,000"
Flat for sale in Chueca - Justicia (Madrid),"Chueca - Justicia, Madrid city","It is a commercial premises of 65 m2 according to Cadastre, although it is currently being used as an office, it is completely renovated with very good qualities.

Distributed on two floors, the lower part has a living room, a bathroom, a kitchen, a room for dressing room or storage and a full kitchen. The upper half floor, loft type with a ceiling height of 2.45 mts. is accessed by a side stairs and we currently find a living room with dining table, which can be modified to room and a beautiful toilet.

If you want to use it as a house, it would be necessary to make the change of use. 

Can you imagine living here?",VM2403041,65 m2,1,2,"€ 530,000"
Flat for sale in Bernabéu - Hispanoamérica (Madrid),"Bernabéu - Hispanoamérica, Madrid city","Bright exterior housing of 82 m2 according to cadastre, with a large courtyard, in high square, nice property and good portal, located in the representative street of Principe de Vergara, surrounded by restaurants, stores, entertainment area, hospitals and all services.

The property is characterized by its reform entirely by the property with high quality and special attention to detail which brings a lot of charm in all rooms with taste, comfort and design.

The house has a spacious living room with steam fireplace.  A beautiful designer kitchen, fully equipped with high-end appliances.  The master bedroom can be made independent by sliding doors with fitted closets fully equipped with the office area, exceptional qualities, walls finished with treated iron, fully fitted closets. Independent bathroom.

Can you imagine living here?",VM2403043,82 m2,1,1,"€ 595,000"
Flat for sale in Castellana (Madrid),"Castellana, Madrid city","Spectacular apartment, in process of rehabilitation, located on the second floor of an impressive building of 1920, with carriage passage, beautiful staircase, cage elevator and original architectural details of the time.

Very bright thanks to the great height of its ceilings of 3.50m, large balcony and nice viewpoint. It has 497 m2 distributed in large hall that leads on one side to the social area consisting of two imposing living rooms, dining room, office and large kitchen, large barn at the entrance and laundry room attached to the service access that also has an elevator and separate staircase.

The private area consists of 4 bedrooms all with en suite bathroom, the master bedroom also has a large dressing room.

Can you imagine living here?",VM2403042,488 m2,4,5,"€ 5,000,000"
Flat for sale in Castellana (Madrid),"Castellana, Madrid city","Spectacular apartment, in process of rehabilitation, located on the second floor of an impressive building of 1920, with carriage passage, beautiful staircase, cage elevator and original architectural details of the time.

Very bright thanks to its high ceilings of 3.50m, large balcony and nice viewpoint. It has 584 m2 according to cadastre with common areas. In the proposed reform we find a large hall that leads on one side to the social area consisting of two imposing living rooms with private elevator, dining room, office and large kitchen with bay window, guest toilet, laundry room at the entrance and attached to the service access that also has an elevator and separate staircase.

 The private area consists of 4 bedrooms all with en suite bathroom, the master bedroom has access to a gallery with bay window and large windows to the interior area, which is also accessed from the dressing room and bathroom with double. 

The house also has its own garage with access to the house by private elevator and its own mezzanine that can be used as a storage room, gym, etc.

Can you imagine living here?",VM2403046,584 m2,4,5,"€ 7,000,000"
Flat for sale in Recoletos (Madrid),"Recoletos, Madrid city","Spectacular property of 518 m² in the heart of Recoletos, located in a representative Regia estate with a beautiful classic facade, stately portal with carriage passage and magnificent common areas; Exceptionally located, between Serrano and Paseo de la Castellana, in the Golden Mile, in one of the most privileged locations in Madrid, surrounded by boutiques, restaurants and all services.

The building is accessed through a beautifully preserved and carefully maintained carriage passage and beautiful recently restored common areas that lead to this fantastic property. A magnificent entrance with a large hall separates the reception area. Presiding over the property is a striking and bright living room divided into three rooms, with four balconies and a beautiful viewpoint overlooking the street and ceilings of almost four meters high. it also has a large and beautiful dining room in chamfer, with lots of charm, which keeps intact the charm of the time consists of spacious rooms, which largely retain the precious shutters and cast iron radiators...

The property is in need of complete renovation and has many possibilities for renovation. It has a large number of downspouts, large windows and a viewpoint to a beautiful inner courtyard with balconies and views to a second large and bright courtyard, overlooking a beautiful garden.

The service area has its own service access. This emblematic property has concierge service and central heating. 

Can you imagine living here?",VM2403031,518 m2,5,3,"€ 5,400,000"
Flat for sale in calle Conde de Peñalver,"Goya, Madrid city","Spectacular refurbished flat on the top floor of a classic building, in a representative street of the Salamanca neighbourhood, in an excellent location, surrounded by restaurants, shops and services. The property is characterised by its extraordinary luminosity and its beautiful balconies overlooking the street.

The property is being refurbished with high qualities and special attention to design. The property is accessed through a bright hall, which leads to a magnificent and bright living-dining room with beautiful balconies from which one can enjoy marvellous views to the wide and tree-lined street, as well as to the beautiful buildings with classical façade situated in front of it.

The sleeping area consists of three beautiful double bedrooms with large built-in wardrobes, two of them with en-suite bathrooms. The property has a concierge service.

Can you imagine living here?",VM2403034,206 m2,3,4,"€ 2,700,000"
Flat for sale in Almagro,"Almagro, Madrid city","It is a ground floor with mezzanine height, as it is accessed by going up some stairs, it has 85 m² according to the land registry, of which 74 m² are living space. The flat has been completely refurbished with an exquisite design, it has two double bedrooms and two bathrooms, living room, dining room and separate kitchen. The entrance hall is representative in a very characteristic building of Almagro, it has a porter service. 

Can you imagine living here?",VM2403039,85 m2,2,2,"€ 600,000"
Flat for sale in Recoletos,"Recoletos, Madrid city","Spectacular exterior housing in a representative royal estate of beautiful classical facade beautiful portal and manicured common areas, located in a privileged location of the exclusive Recoletos a few meters from the Retiro Park, and Velázquez. Surrounded by restaurants, shops, parks, and all services. 

It has been luxuriously refurbished and furnished with exquisite taste.

The property is characterized by the classic elegance of all its rooms, its beautiful balconies from which you can enjoy wonderful views of the Retiro, its high ceilings of more than three meters, with a reform designed for the most demanding: Combining with success elegance and comfort, the reform harmonizes with intelligence, the classic spirit of the house, a magnificent design, current and practical. The combination of its light tones, combined with the wood, give the house a lot of warmth and harmony that, added to its excellent light given its south orientation, result in an ideal place to create a dream home.

The house has been refurbished to suit all needs, with three bedrooms with large built-in wardrobes and three complete bathrooms. The third bedroom can be used as an office or multi-purpose room, and the third bathroom can be used as a guest bathroom.

 The property has a doorman and a beautiful and spacious lift in a cage.

Can you imagine living here?",VM2403040,255 m2,3,3,"€ 4,200,000"
Detached house for sale in Pozuelo,"Zona Pueblo, Madrid Noroeste","aProperties presents a detached house totally refurbished in July 2022 with great qualities and design in Pozuelo de Alarcón. The house of 450 m² is located on a plot of 600 m², consists of 4 floors, with two accesses, the main one and the service one. The property is accessed through a spacious and bright hall. The living room with two rooms has large windows with electric blinds and a large fireplace, the dining room of great amplitude and luminosity gives continuity to the space. On the same floor, we find the kitchen, fully equipped, with independent service entrance and a complete bathroom. On the first floor, there are two en-suite bedrooms and another two bedrooms sharing a bathroom, all equipped with a large number of wardrobes. In the hall there is a wonderful linen cupboard. The attic is completely diaphanous and has a lot of light, both from the velux windows on the roof and a large window on the side facade that illuminates the space and the staircase and a wonderful bathroom separated with translucent glass from the rest of the room. In the semi-basement there is a service bedroom with its corresponding bathroom, a laundry and ironing room, another one as an office or children's playroom and the exit to the garage with two parking spaces. The marvellous marble staircase that connects all the floors, as well as the large window along the staircase that gives the property natural light throughout the day, and the warmth and good taste of all the bathrooms and bedrooms, stand out. The AACC is individual for each room and the heating is oil-fired. In the garden, there is an automatic watering system and lights that illuminate the whole space at night. There is a wonderful swimming pool with a magnificent automatic awning that makes it possible to use the garden all year round. Both the carriage door and the garage door are automatic. The property is located in the centre of Pozuelo de Alarcón, very close to great schools such as Colegio Americano, Internacional de Aravaca, Santa María de los Rosales, Kensington School or the British School and quick access to major roads such as the M-40 or the road to La Coruña N-VI. It is close to shopping centres such as Hipercor, Sexta Avenida or Zielo and a large number of local shops, both in the village and in Avda. de Europa.

Can you imagine living here?",VMO2403005,450 m2,6,6,"€ 1,615,000"
House for sale in Zona Norte (Pozuelo),"Zona Norte, Madrid Noroeste","Apropierties presents this villa of 257m2 on a magnificent plot of 630 m2, distributed over three floors. It is located in the north area, a well connected and quiet area. 

Upon entering the house, the main hall leads to the bright living room with large windows overlooking the garden, next to it is located an office. On this floor there is also a kitchen and a guest toilet. 
On the second floor there are 4 bedrooms, all of them exterior and with lots of natural light. The master bedroom has an en suite bathroom. The other 3 bedrooms share a complete bathroom. 

There is access to the terrace on the upper floor through a trap door with stairs.
 
In the basement there is a large garage with capacity for 2 cars.

Outside, the property has a large garden that receives plenty of sunshine throughout the year. It also has its own well.

Can you imagine living here?",VMO2403006,257 m2,4,3,"€ 870,000"
Flat for sale in Recoletos,"Recoletos, Madrid city","Property in Recoletos, a few steps from the Plaza de la Independencia, of 243 m² of land registry, of which 228 are useful. 

The house has been completely refurbished, with high quality materials, top of the range appliances and installations. It has three spacious bedrooms, two of them with dressing room and bathroom en suite, and also enjoys a large family living area. 

Located in a very representative classic building with doorman on the property. 

A great opportunity to live or as an investment in the most exclusive and demanded area of Madrid.

Can you imagine living here?",VM2403025,243 m2,4,3,"€ 3,150,000"
Flat for sale in calle Monte Esquinza,"Almagro, Madrid city","Aproperties offers for sale this fantastic flat in the heart of Almagro in Monte Esquinza street. It is an exterior first floor of 384 m² with two large windows overlooking the street that give it a lot of light. Until now it has been an office, although its use is residential, so it has 9 spacious rooms, a kitchen and two bathrooms. The spaces are really spacious and the ceilings are very high with plaster mouldings which would allow for a reform to the taste and needs of the buyer. Furthermore, there are two registry properties joined together at present, so there would be no problem in separating the flat into two, both being of a very good size. The property is classic, with a very good entrance and the communal areas are very well maintained, with concierge, service area and two lifts. The flat also has a parking space in the building itself and a storage room of about 8 m².

This is a unique opportunity to live in one of the most elegant and distinguished neighbourhoods in Madrid, with all the leisure services, restaurants, schools, health centres, etc. within walking distance and very well connected.

Can you imagine living here?",VM2403026,384 m2,4,2,"€ 3,300,000"
Newly built homes next to Puerta de Hierro,"Peñagrande, Madrid city","Panoramic Homes is a residential complex of iconic and unique architecture, consisting of two 16-storey towers that house 240 exclusive new-build 1, 2 and 3-bedroom homes with large terraces and studios. In a gated development with communal areas and a privileged location, in the north-east of Madrid, in Peñagrande - next to Puerta de Hierro.

Perfectly orientated, you will be able to choose between different types of homes, including ground floors with private gardens, spectacular penthouses with panoramic views of the surroundings and large terraces where you can enjoy the best views of Madrid. The complex has a swimming pool for adults and children, solarium, children's play area and gourmet room. 

A privileged new-build residential environment, surrounded by green spaces, such as La Dehesa de la Villa, the Real Club de Puerta de Hierro and El Pardo, which allows you to fully enjoy nature, just 15 minutes from the centre of the capital.

Can you imagine living here?",ONM2403001,57-126 m2,,,"from € 342,000"
Flat for sale in Recoletos,"Recoletos, Madrid city","Exclusive refurbished property located next to the Plaza de la Independencia, a few metres from the Retiro Park, between Serrano Street and Paseo de la Castellana, in the representative street of Recoletos. Surrounded by boutiques, restaurants and all services.

The property has been refurbished by a renowned architectural studio, with high quality materials and special attention to the distribution of spaces, creating spacious, comfortable and elegant rooms. The interior design of the property successfully combines beauty and comfort.

It has a bright living-dining room open to a modern, fully equipped designer kitchen, three spacious bedrooms, two of them en-suite, and a third complete bathroom.

The roof terrace of the building has been fitted out with a magnificent chill out area for the enjoyment and pleasure of the owners.

The building has a concierge.

Can you imagine living here?",VM2403016,133 m2,3,3,"€ 1,480,000"
Penthouse for sale in Goya,"Goya, Madrid city","In the distinguished Barrio de Salamanca, next to the Plaza Felipe II and a few metres walk from the Retiro Park and the best leisure areas, shops and restaurants, APROPERTIES offers for sale this magnificent flat of 87 m² exterior to renovate plus a magnificent roof terrace of 60 m². It is a fifth and last exterior floor, very luminous and east facing. Currently, the project for the installation of the lift is pending of license to start the works.

The property has many possibilities of redistribution, being able to have a large living-dining room with two balconies, semi-integrated kitchen and two double bedrooms with two complete bathrooms. Photos of how it could be reformed are included.

The property in which it is located has a classic façade and beautiful balconies with ballast. Its privileged location and the fantastic connection with the main public transport lines and easy access to the M30, make it a formidable investment opportunity to live in one of the best areas of the capital. 

Can you imagine living here?",VM2403019,86 m2,2,2,"€ 850,000"
Flat for sale in calle del Corazón de María,"Prosperidad, Madrid city","Aproperties presents a brand new flat of 82sqm, located in Calle Corazón de María, in the neighbourhood of Prosperidad - Chamartín. 

The property consists of two double bedrooms, two complete bathrooms (one en suite) and a spacious living-dining room with integrated and fully equipped kitchen. 

It has been completely refurbished. The space has been used to the maximum, in a functional and elegant way. It has central heating and air conditioning. 

The property is located in a building from the 60's, well kept and with concierge service. 

It is a flat with a beautiful natural light that overlooks a very spacious courtyard, open to the street.  

Can you imagine living here?",VM2403020,82 m2,2,2,"€ 595,000"
Flat for sale in calle Carranza,"Malasaña - Universidad, Madrid city","aProperties presents an exclusive flat in Carranza street, refurbished exterior.  It has a surface area of 100 m² built according to the land registry. Its materials are of the highest quality and very special: French oak floors, floor-to-ceiling windows in the living room, impressive mouldings, Italian porcelain tiles. The day area incorporates a spacious living room with two balconies and a glazed kitchen fully equipped with top of the range appliances. The night area has a spacious bedroom, a comfortable and elegant dressing room and a huge bathroom. The furniture is beautiful and is included. It has air conditioning, hot and cold pump and gas central heating. 

Can you imagine living here?",VM2403013,100 m2,1,1,"€ 745,000"
Flat for sale in El Soto de la Moraleja,"El Soto de la Moraleja, Madrid Norte","aProperties presents a fantastic flat located in the heart of Soto de la Moraleja, a wooded urbanization with gardens and great communal areas to enjoy.  

At the entrance we find a large hall that leads to a large living room with fireplace in different environments and large windows that provide luminosity.  The spacious dining room is a luxury, as it has large windows overlooking a pleasant and private terrace. The kitchen with office is a functional space with storage space and laundry area.  The sleeping area is a comfort offering four bedrooms with fitted wardrobes and three complete bathrooms, as well as the convenience of an extra service bedroom with its own bathroom.

The property offers parking space and storage room. 

The flat is located in one of the best urbanisations in the area, with a swimming pool, paddle tennis court, football-basketball court, large gardens and the peace and quiet of the porter service.

Can you imagine living here?",VMN2403002,234 m2,4,3,"€ 1,320,000"
Flat for sale in calle Fuencarral,"Chueca - Justicia, Madrid city","Semi-new development with three bedrooms and two bathrooms. Spacious and bright flat of 181 m² according to land registry, of which 135 m² belong to the flat. The property consists of three bedrooms, all with fitted wardrobes and one of them with en-suite bathroom, laundry area. The property is completed by the communal areas located in the penthouse of the building, such as swimming pool, terrace with solarium area, 360º views, gym and changing rooms. It also has a concierge service. 

Can you imagine living here?",VM2403010,181 m2,3,2,"€ 1,265,000"
Semi-detached house for sale in Aravaca,"Aravaca, Madrid Noroeste","aProperties presents a semi-detached detached house located on the front line of the exclusive urbanization of La Rinconada, with exclusive views to the large meadow and communal garden areas.

South facing, very bright and completely refurbished a few years ago, with the best qualities. It has independent underfloor heating, air conditioning, two lounges, library, separate dining room, hall, guest bathroom, kitchen, large terrace on the main floor. On the first floor, there are two bedrooms, one of them a large suite with a large dressing room with the possibility of converting it into two bedrooms, two bathrooms and a terrace. On the semi-basement floor, there are three large bedrooms with two en-suite bathrooms, kitchenette, ironing/utility room and storage room.

The property has a constructed area of 454 m² and a living area of 400 m². It has parking and large green areas adjoining the Casa de Campo, the Country Club and the Camarines park.

The private urbanisation offers 24-hour security, extensive facilities including 2 swimming pools (children's and adult), Social House, 2 football pitches, 3 tennis courts, paddle tennis, skating rink and children's playground. 

Can you imagine living here?",VMO2403003,454 m2,5,5,"€ 2,500,000"
House for sale in Monte Alina,"Monte Alina, Madrid Noroeste","aProperties presents this elegant property of 1200 m², set on a spectacular plot of almost 4000 m². 

The layout of this property is exceptional. All the rooms are bright and have unique views over the beautiful landscaped garden.

On the ground floor, there is an imposing double-height entrance hall leading to a spacious and cosy living room with several rooms and an elegant dining room. On this floor there is also a guest toilet, and the kitchen with separate dining room and impressive views.

The first floor is accessed via a large suspended staircase that leads to five comfortable bedrooms, all of which are en suite.

In the basement there is a large cinema room, a wine cellar, and an indoor heated swimming pool with dressing room and bathroom. On this level there is also a service flat with 2 bedrooms and two bathrooms, and a spacious laundry area.

A highlight is the entire exterior of the house, with a large and beautiful garden, with a swimming pool with waterfall, and a very spacious porch with space for living room, dining room and barbecue area with stone oven.

All the characteristics of the property are exceptional, the finishes are of the highest quality. It has underfloor heating with aerotermia, and installation of photovoltaic panels that guarantee a very efficient energy consumption. It has a lift, air conditioning and three alarm systems.

Can you imagine living here?",VMO2403002,"1,200 m2",7,8,"€ 4,275,000"
Flat for sale in calle Padilla,"Lista, Madrid city","In Padilla street, in the most residential area of Lista, we find a brand new renovated exterior first floor in a property with a classic façade, stately entrance, doorman and well-kept communal areas. The property distributes its almost 200 m² in a day area consisting of kitchen, large living room with two balconies overlooking the street, three double bedrooms with en-suite bathrooms and a comfortable guest toilet. High ceilings, warm and carefully selected materials to create distinguished and functional environments. The property also has a storage room of 20 m². 

Can you imagine living here?",VM2402096,206 m2,3,4,"€ 1,850,000"
Flat for sale in Zona Avenida de Europa (Pozuelo),"Zona Avenida de Europa, Madrid Noroeste","We present this newly renovated apartment in 2023 and located in the best area of Avenida de Europa. The apartment has a living room, kitchen with patio, 4 bedrooms, 2 bathrooms and a large glazed terrace that provides better thermal and acoustic air conditioning in both winter and summer, as well as providing high energy efficiency. The kitchen is completely renovated from the floor to furniture and appliances, the result is a brand new modern kitchen. The 2 bathrooms have also been renovated, with new furniture and toilets. The rest of the house has been renovated and updated, oak parquet flooring and varnished, and elimination of stippled and moldings.

The house has 3 splits of air conditioning, heating with individual natural gas boiler, and 15 meters of electric awnings on its large terrace, everything is renovated to enter to live.  It also has a large and square storage room of 12m2 and a comfortable and wide parking space. The urbanization has a lush garden area, large arcades, swimming pool and concierge in guardhouse during daylight hours. 

The area is equipped d all services at street level, schools and universities, terraces, supermarkets, medical center, parks, stores, etc.. Perfectly communicated by urban transport and easy access to the main roads. It is an area that has evolved very well over the last 25 years, with good stores and restaurants, but maintaining the air of a residential area. The apartment is a prototype of the Avenida de Europa, in the best area, renovated, comfortable, with good qualities and in our opinion, a good acquisition.

Can you imagine living here?",VMO2402018,156 m2,4,2,"€ 790,000"
House for sale in Urbanización El Paraíso,Valdemorillo,"Welcome to your new home in the quiet and exclusive Urbanisation El Paraíso de Valdemorillo, next to the idyllic Valmayor Reservoir!

This beautiful villa offers an incomparable lifestyle, combining modern comfort with the serenity of nature. With four spacious bedrooms, a full bathroom and a toilet, this property is ideal for families looking for space and comfort.

Outstanding features:

- Warm and cosy: Enjoy cosy evenings by the fireplace in the spacious living room, perfect for relaxing and sharing special moments with your loved ones.

- Year-round comfort: Equipped with radiators in all rooms powered by an efficient oil boiler, this house guarantees a pleasant temperature at all times of the year.

- Security and privacy: The property has double glazing and bars in all areas, providing peace of mind and security for you and your family.

- Outdoor oasis: Soak in the private swimming pool surrounded by lush vegetation in the spacious garden, where you will also find a built-in barbecue to enjoy delicious alfresco meals.

- Storage space: With a two-car garage, a storage room and a woodshed, you'll have more than enough space to store your belongings neatly and conveniently.

Furthermore, its privileged location, just 35 minutes drive from Madrid, offers you the perfect combination of rural tranquillity and access to city amenities.

Don't miss the opportunity to make this beautiful property your new home - contact us today to arrange a viewing!

Can you imagine living here?",VMO2402019,286 m2,4,2,"€ 360,000"
Penthouse for sale in Trafalgar (Madrid),"Trafalgar, Madrid city","AProperties offers for sale this magnificent and very bright penthouse in a privileged location in Chamberí, next to the Glorieta de Álvarez Castro, very well connected to the metro stations of Canal and Iglesia and with bus lines nearby. Surrounded by trendy shops and restaurants, very close to the sports facilities of Canal de Isabel II; Cines Verdi and Teatros del Canal.

The building where the property is located is an elegant classical building dating back to 1927 with balconies and a lift. The property has been completely and totally refurbished and is a sixth and last floor with a fantastic terrace of about 12 m² facing south with water connection. 

It has 78 m² constructed area distributed in a day area consisting of a spacious and bright living room with direct access to the terrace overlooking the street García de Paredes. The open plan kitchen is integrated in the living room and fully equipped with all top brand appliances. The night area consists of two double bedrooms with fitted wardrobes and a complete bathroom that serves them. The master bedroom is exterior and has access to another small terrace of 2 m². It has central heating and ducted air conditioning in all rooms.  

This is a wonderful opportunity to live in one of the best areas of the Trafalgar neighbourhood, a beautiful brand new refurbished property.

Can you imagine living here?",VM2402091,78 m2,2,1,"€ 950,000"
House for sale in Somosaguas,"Somosaguas, Madrid Noroeste","aProperties presents an impressive property of 369 meters on a plot of 600 meters. This cosy house has 4 floors. On the main floor there is a spacious living room with dining room, kitchen with office, laundry patio and a first room as an office. Going up to the first floor we find 4 comfortable bedrooms, two of them en suite. And on the top floor there is an attic suitable as a games room and/or TV room. In the basement there is parking for two cars, a comfortable service room and another lounge as a bar.

The property is surrounded by a garden with a private swimming pool and ample outdoor living and dining areas for family gatherings and relaxing moments.

The villa needs a little updating if you want to have a more modern home, with little effort. Its interior spaces are spacious, bright and very welcoming.

Can you imagine living here?",VMO2402017,341 m2,6,4,"€ 1,150,000"
Flat for sale in Chueca,"Chueca - Justicia, Madrid city","Exclusive 3 bedroom flat with 156 m² according to the land registry, of which 131 m² are usable. It is a designer flat designed by architects. Located in a historic building in the centre of Madrid, in the district of Chueca. Brand new.

The property is the result of artistic work, combining aesthetic, harmonious and functional spaces. It is exterior and bright, with high ceilings and the original wooden structure of the building.

It is a unique, signature flat. It has been entirely custom-designed: the kitchen, the library with niche for the bioethanol fireplace, the wardrobes, the bathroom furniture and the Italian showers. Wooden floor.
Even the smallest detail has been designed and built exclusively.

Particular care has been taken to create a warm, detailed and energy-saving lighting system.

A movable partition separates the master bedroom from the adjoining bedroom. Thus, when this adjoining bedroom is not occupied, it is possible to move the partition and create a master bedroom twice the size.

Layout: Large open plan kitchen-dining-living room, master bedroom with bathroom en suite and dressing room, plus 2 guest bedrooms with guest bathroom.

Floor 4, exterior, lift, air conditioning, individual gas heating.

Can you imagine living here?",VM2402094,131 m2,3,2,"€ 1,345,000"
House for sale in Ciudalcampo (San Sebastián de los Reyes),"Ciudalcampo, Madrid Norte","APROPERTIES REAL ESTATE presents an exceptional villa, with lots of character and excellent location, bordering the Coto de la Pesadilla, integrated in the park of the Cuenca Alta del Manzanares. The plot, of 2.918m2, enjoys great privacy and tranquility.  The house, of 535m2, has spacious and bright rooms, top quality materials and a comfortable distribution. 

Main floor: the character of the house can be felt from the very first moment. The entrance of the house leads to a huge hall with large windows and high ceilings, from which you access the spectacular double-height living room, with different environments and levels (living area, TV area and dining room) and large windows overlooking the countryside. The living room communicates with a modern and spacious kitchen, with central island and office. From both rooms there is access to the pool and a nice porch with barbecue area. On this floor there is also a guest toilet and in the wing opposite the living room, two twin bedrooms with en suite bathroom, living room and mezzanine seating area. 

Second floor: from the hall, this floor is accessed by an imposing avant-garde staircase. This floor houses the master bedroom with office area, large bathroom with shower, jacuzzi with spectacular views, dressing room and seating area. The huge room has a sloping wooden ceiling that gives a very warm and homely touch and huge windows overlooking the countryside. 

First floor: service bedroom with bathroom, laundry area, utility room and large garage for four cars. 

The house has natural gas underfloor heating, air conditioning and installation of solar panels.  

The garden is very well kept and enjoys a lot of privacy and tranquility. The infinity pool is very nice and has spectacular views of the countryside. 

Can you imagine living here?",VMN2402010,535 m2,4,5,"€ 1,990,000"
Flat for sale in calle Fortunata y Jacinta,"Cuatro Caminos, Madrid city","Spectacular brand new renovated apartment located on a second floor exterior, with 193 m² and a spacious and functional distribution, its bright and spacious living room with fully furnished and equipped with all high-end appliances. In the rest area we have four bedrooms and four bathrooms which provides comfort and privacy.

In addition, we highlight its terraces with exits from the living room and master bedroom, where you can enjoy moments of tranquility and views of the city.

Can you imagine living here?",VM2402089,193 m2,,3,"€ 1,170,000"
Flat for sale in Vallehermoso,"Vallehermoso, Madrid city","Property located on the first floor, in the traditional neighbourhood of Vallehermoso, Chamberí district, approximately 202 m² of living space plus. The property is distributed in a wonderful living room with dining area plus integrated kitchen, being easily separated or glazed of more than 50 m². From the living room there is access to a beautiful terrace. In this area there is a laundry area and a guest toilet. Moving on to the perfectly separated rest area, we find four bedrooms with large dressing rooms and en-suite bathrooms, with the master bedroom enjoying a second charming terrace.

Can you imagine living here?",VM2402090,202 m2,3,4,"€ 1,320,000"
Flat for sale in calle San Vicente Ferrer,"Malasaña - Universidad, Madrid city","In a well-kept building in San Vicente Ferrer, next to the Tribunal metro station, we find an attic on the fourth floor, without lift, ready to move into. Its cosy layout consists of a bedroom with a Velux ceiling that provides great luminosity, a living room with integrated kitchen, furnished and equipped, and a complete bathroom. Ventilation and natural light in all rooms make this property a unique opportunity to live or invest in the centre of Madrid.

Can you imagine living here?",VM2402078,51 m2,1,1,"€ 235,000"
House for sale in calle Ricardo Damas,"Legazpi, Madrid city","For sale completely detached villa type property of new construction, with very good qualities, ideal to enter to live and design it, consists of 5 floors. The distribution can be modified, as it is currently ready to be created to your style and criteria, the distribution project would be to make two completely segregable properties, the horizontal division has not yet been made, therefore, it could be left as a single family or make the division that is currently there is as follows: on the ground floor you will find garage with a capacity of space for four cars, on the first floor will be located the day area: living room and kitchen, on the first floor you will find a bedroom and a brand new double bathroom, on the third floor a second bedroom and a second double bathroom with window, also at the top of the property will have an incredible terrace overlooking the city.

The finishes are authentic loft, ceiling height is representative in each of its rooms of 7 m. also has aerothermal underfloor heating and cooling. The property has a lift and staircase access. The location is perfect, just a few minutes from Madrid Rio, Cultural Centre and with very good communication to the M-30, M-40 and close to multiple bus stops and metro / train as Legazpi and Planetarium

Can you imagine living here?",VM2402080,380 m2,5,4,"€ 1,250,000"
Flat for sale in Castellana (Madrid),"Castellana, Madrid city","Aproperties presents magnificent exterior housing in stately estate of 1920 with a beautiful classic facade, well-kept common areas, concierge and elevator.

The property has been completely renovated with the highest qualities of the market, wooden floors and doors, double glazed windows, multiple fitted closets from floor to ceiling, individual heating, air conditioning in all rooms.

The house has a fantastic and bright living room with three beautiful French balconies and one of them glazed from which you can enjoy wonderful views of the wide and tree-lined street with beautiful classic buildings.

It has a semi-integrated kitchen to the living room spectacular design fully equipped with appliances (double washing machine) all high-end.

The sleeping area is distributed in a bedroom or office with bathroom included, two double bedrooms with fitted closets, a second bathroom with bathtub and the master bedroom with en suite bathroom and dressing room.

Can you imagine living here?",VM2402083,114 m2,4,3,"€ 1,730,000"
